title,author,publisher,description,rank,weeks_on_list,primary_isbn13,list_name,list_date
THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,Simon & Schuster,A TV producer plans a show about a cold case — the killing of a student found with one shoe missing.,17,0,9781476763125,hardcover-fiction,2015-01-13
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,Putnam,The Mitford character Father Tim finds friends and family wrestling with difficulties. ,18,0,9780399167447,hardcover-fiction,2015-01-13
LILA,Marilynne Robinson,"Farrar, Straus & Giroux","The early life of the woman who becomes the wife of the widower and minister John Ames; a back story to ""Gilead.""",19,0,9780374187613,hardcover-fiction,2015-01-13
MORIARTY,Anthony Horowitz,Harper,,20,0,9780062377180,hardcover-fiction,2015-01-13
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,1,36,9781476746586,hardcover-fiction,2015-01-27
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",2,12,9780385537148,hardcover-fiction,2015-01-27
AS CHIMNEY SWEEPERS COME TO DUST,Alan Bradley,Delacorte,"The chemist and sleuth Flavia de Luce, now 12 and in boarding school in Canada, discovers a mummified body.",3,1,9780345539939,hardcover-fiction,2015-01-27
INSATIABLE APPETITES,Stuart Woods,Putnam,"In this Stone Barrington series thriller, Barrington faces secrets and seduction when a dangerous woman from his past appears as he settles a friend's estate.",4,1,9780399169151,hardcover-fiction,2015-01-27
THE EMPTY THRONE,Bernard Cornwell,Harper,Rivals clash over succession when the king of Mercia in 10th-century Britain dies without an heir; the eighth volume of the Saxon Tales.,5,1,9780062250711,hardcover-fiction,2015-01-27
GOLDEN SON,Pierce Brown,Del Rey,"In Book 2 of the Red Rising trilogy, set in a dystopian future, a young laborer in the mines of Mars fights his world’s ruling elite.",6,1,9780345539816,hardcover-fiction,2015-01-27
HOPE TO DIE,James Patterson,"Little, Brown","Detective Alex Cross's family has been taken by a psychotic stalker, and Cross must play a deadly game to save them.",7,7,9780316210966,hardcover-fiction,2015-01-27
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",8,8,9781455521197,hardcover-fiction,2015-01-27
THE BOSTON GIRL,Anita Diamant,Scribner,The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”,9,5,9781439199350,hardcover-fiction,2015-01-27
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",10,9,9781476770383,hardcover-fiction,2015-01-27
BIG LITTLE LIES,Liane Moriarty,Amy Einhorn/Putnam,"Who will end up dead, and how, when three mothers with children in the same school become friends?",11,11,9780399167065,hardcover-fiction,2015-01-27
STATION ELEVEN,Emily St,Knopf,A traveling theater company looks for an audience among a global pandemic’s survivors.,12,5,9780385353304,hardcover-fiction,2015-01-27
TRUST NO ONE,Jayne Ann Krentz,Putnam,"Stalked after the death of her murdered boss, a woman gets help in the form of a rich but bored venture capitalist.",13,1,9780399165139,hardcover-fiction,2015-01-27
THE THIRD TARGET,Joel C. Rosenberg,Tyndale House,A journalist risks his life to discover whether ISIS has chemical weapons and where they plan to deploy them.,14,1,9781414336275,hardcover-fiction,2015-01-27
REDEPLOYMENT,Phil Klay,Penguin Press,Twelve stories by a former Marine who served in Iraq; winner of the 2014 National Book Award.,15,4,9781594204999,hardcover-fiction,2015-01-27
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",16,59,9780316055437,hardcover-fiction,2015-01-27
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan.,17,0,9780399173356,hardcover-fiction,2015-01-27
AGENDA 21: INTO THE SHADOWS,Glenn Beck with Harriet Parke,Threshold Editions,,18,0,9781476746821,hardcover-fiction,2015-01-27
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",19,0,9780345544926,hardcover-fiction,2015-01-27
EVERYTHING I NEVER TOLD YOU,Celeste Ng,Penguin Press,A daughter’s death from drowning tears away at a Chinese-American family in 1970s Ohio.,20,0,9781594205712,hardcover-fiction,2015-01-27
YES PLEASE,Amy Poehler,Dey Street/Morrow,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",1,11,9780062268341,hardcover-nonfiction,2015-01-27
KILLING PATTON,Bill O'Reilly and Martin Dugard,Holt,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,2,16,9780805096682,hardcover-nonfiction,2015-01-27
BEING MORTAL,Atul Gawande,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,3,14,9780805095159,hardcover-nonfiction,2015-01-27
WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,,4,19,9780544272996,hardcover-nonfiction,2015-01-27
NOT THAT KIND OF GIRL,Lena Dunham,Random House,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,5,15,9780812994995,hardcover-nonfiction,2015-01-27
41,George W. Bush,Crown,"The former president’s portrait of his father, George H.W. Bush",6,9,9780553447781,hardcover-nonfiction,2015-01-27
AMERICA'S BITTER PILL,Steven Brill,Random House,"The issues in American health care and health care reform and recent developments including the drafting and implementation of the Affordable Care Act, by the journalist, editor and lawyer.",7,1,9780812996951,hardcover-nonfiction,2015-01-27
DEEP DOWN DARK,Héctor Tobar,"Farrar, Straus & Giroux","An account, based on interviews, of the experience of the 33 Chilean miners who were trapped underground for 69 days in 2010 and, incredibly, rescued.",8,4,9780374280604,hardcover-nonfiction,2015-01-27
IT WAS ME ALL ALONG,Andie Mitchell,Clarkson Potter,"A memoir about the author’s long struggle with, and eventual victory over, obesity.",9,1,9780770433246,hardcover-nonfiction,2015-01-27
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",10,190,9781400064168,hardcover-nonfiction,2015-01-27
SILVER SCREEN FIEND,Patton Oswalt,Scribner,The actor and writer’s memoir describes his “addiction” to classic films at the New Beverly Cinema in Los Angeles as he learned to be a stand-up comedian in the late 1990s.,11,1,9781451673210,hardcover-nonfiction,2015-01-27
THE INNOVATORS,Walter Isaacson,Simon & Schuster,,12,13,9781476708690,hardcover-nonfiction,2015-01-27
"DON'T GIVE UP, DON'T GIVE IN",Louis Zamperini and David Rensin,Dey Street/Morrow,Advice and observations from the Olympic champion and World War II survivor.,13,2,9780062368331,hardcover-nonfiction,2015-01-27
HUMANS OF NEW YORK,Brandon Stanton,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by the author.",14,28,9781250038821,hardcover-nonfiction,2015-01-27
THE ANDY COHEN DIARIES,Andy Cohen,Holt,"One year in the (social) life of the TV producer and host of ""Watch What Happpens Live.""",15,9,9781627792288,hardcover-nonfiction,2015-01-27
SMALL VICTORIES,Anne Lamott,Riverhead,"Essays about forgiveness, transformation and grace.",16,9,9781594486296,hardcover-nonfiction,2015-01-27
THINGS THAT MATTER,Charles Krauthammer,Crown Forum,Three decades’ worth of essays from the conservative columnist.,17,0,9780385349178,hardcover-nonfiction,2015-01-27
I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown","The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and won the Nobel Peace Prize.
",18,0,9780316322409,hardcover-nonfiction,2015-01-27
CAPITAL IN THE TWENTY-FIRST CENTURY,Thomas Piketty,Belknap/Harvard University,,19,0,9780674430006,hardcover-nonfiction,2015-01-27
THIS CHANGES EVERYTHING,Naomi Klein,Simon & Schuster,,20,0,9781451697384,hardcover-nonfiction,2015-01-27
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.,1,37,9781476746586,hardcover-fiction,2015-02-03
THE GIRL ON THE TRAIN,Paula Hawkins,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals.,2,1,9781594633669,hardcover-fiction,2015-02-03
SAINT ODD,Dean Koontz,Bantam,"The final adventure of Odd Thomas, a young fry cook with occult powers.",3,1,9780345545879,hardcover-fiction,2015-02-03
GRAY MOUNTAIN,John Grisham,Doubleday,"A laid-off lawyer, in a bid to reclaim her corporate perch, moves to an Appalachian mining town where her legal-aid work starts to rile Big Coal.",4,13,9780385537148,hardcover-fiction,2015-02-03
COLD COLD HEART,Tami Hoag,Dutton,"After surviving a serial killer's attack, a former TV reporter becomes involved in solving the long-ago disappearance of her childhood best friend.",5,1,9780525954545,hardcover-fiction,2015-02-03
THE FIRST BAD MAN,Miranda July,Scribner,A houseguest forces a passive woman into a bizarre but liberating sexual relationship.,6,1,9781439172568,hardcover-fiction,2015-02-03
THE ESCAPE,David Baldacci,Grand Central,"John Puller, a special agent with the Army, hunts for his brother, who was convicted of treason and has escaped from prison.",7,9,9781455521197,hardcover-fiction,2015-02-03
HOPE TO DIE,James Patterson,"Little, Brown","Detective Alex Cross's family has been taken by a psychotic stalker, and Cross must play a deadly game to save them.",8,8,9780316210966,hardcover-fiction,2015-02-03
THE BOSTON GIRL,Anita Diamant,Scribner,The daughter of Jewish immigrants grows up in early-20th- century Boston; by the author of “The Red Tent.”,9,6,9781439199350,hardcover-fiction,2015-02-03
INSATIABLE APPETITES,Stuart Woods,Putnam,"In this Stone Barrington series thriller, Barrington faces secrets and seduction when a dangerous woman from his past appears as he settles a friend's estate.",10,2,9780399169151,hardcover-fiction,2015-02-03
STATION ELEVEN,Emily St,Knopf,A traveling theater company looks for an audience among a global pandemic’s survivors.,11,6,9780385353304,hardcover-fiction,2015-02-03
BIG LITTLE LIES,Liane Moriarty,Amy Einhorn/Putnam,"Who will end up dead, and how, when three mothers with children in the same school become friends?",12,12,9780399167065,hardcover-fiction,2015-02-03
THE EMPTY THRONE,Bernard Cornwell,Harper,Rivals clash over succession when the king of Mercia in 10th-century Britain dies without an heir; the eighth volume of the Saxon Tales.,13,2,9780062250711,hardcover-fiction,2015-02-03
REVIVAL,Stephen King,Scribner,"The continuing relationship, over five decades, between a disgraced clergyman and a drug-addicted musician.",14,10,9781476770383,hardcover-fiction,2015-02-03
THE GOLDFINCH,Donna Tartt,"Little, Brown","After his mother is killed in a museum explosion, a young man grapples with the world alone while hiding a prized Dutch painting.",15,60,9780316055437,hardcover-fiction,2015-02-03
TRUST NO ONE,Jayne Ann Krentz,Putnam,"Stalked after the death of her murdered boss, a woman gets help in the form of a rich but bored venture capitalist.",16,0,9780399165139,hardcover-fiction,2015-02-03
THE THIRD TARGET,Joel C. Rosenberg,Tyndale House,A journalist risks his life to discover whether ISIS has chemical weapons and where they plan to deploy them.,17,0,9781414336275,hardcover-fiction,2015-02-03
LEAVING TIME,Jodi Picoult,Ballantine,"After searching for her mother, who has disappeared, for more than 10 years, a woman employs a psychic and a detective.",18,0,9780345544926,hardcover-fiction,2015-02-03
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,Putnam,A discovery of mineral deposits has changed North Korea’s fortunes and made the country even more of a threat for President Jack Ryan.,19,0,9780399173356,hardcover-fiction,2015-02-03
GOLDEN SON,Pierce Brown,Del Rey,"In Book 2 of the Red Rising trilogy, set in a dystopian future, a young laborer in the mines of Mars fights his world’s ruling elite.",20,0,9780345539816,hardcover-fiction,2015-02-03
BEING MORTAL,Atul Gawande,Metropolitan/Holt,The surgeon and New Yorker writer considers how doctors fail patients at the end of life and how they can do better.,1,15,9780805095159,hardcover-nonfiction,2015-02-03
YES PLEASE,Amy Poehler,Dey Street/Morrow,"A humorous miscellany from the comedian and actress, an “S.N.L.” alumna and the star of “Parks and Recreation.”",2,12,9780062268341,hardcover-nonfiction,2015-02-03
KILLING PATTON,Bill O'Reilly and Martin Dugard,Holt,The host of “The O’Reilly Factor” recounts the strange death of Gen. George S. Patton in December 1945.,3,17,9780805096682,hardcover-nonfiction,2015-02-03
AMERICA'S BITTER PILL,Steven Brill,Random House,"The issues in American health care and health care reform and recent developments including the drafting and implementation of the Affordable Care Act, by the journalist, editor and lawyer.",4,2,9780812996951,hardcover-nonfiction,2015-02-03
WHAT IF?,Randall Munroe,Houghton Mifflin Harcourt,,5,20,9780544272996,hardcover-nonfiction,2015-02-03
NOT THAT KIND OF GIRL,Lena Dunham,Random House,A collection of revealing and often humorous personal essays from the creator and star of “Girls.”,6,16,9780812994995,hardcover-nonfiction,2015-02-03
41,George W. Bush,Crown,"The former president’s portrait of his father, George H.W. Bush",7,10,9780553447781,hardcover-nonfiction,2015-02-03
UNBROKEN,Laura Hillenbrand,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",8,191,9781400064168,hardcover-nonfiction,2015-02-03
IT WAS ME ALL ALONG,Andie Mitchell,Clarkson Potter,"A memoir about the author’s long struggle with, and eventual victory over, obesity.",9,2,9780770433246,hardcover-nonfiction,2015-02-03
DIGITAL DESTINY,Shawn DuBravac,Regnery,An economist argues that technology will transform our daily lives and solve many of mankind's problems.,10,1,9781621573739,hardcover-nonfiction,2015-02-03
DEEP DOWN DARK,Héctor Tobar,"Farrar, Straus & Giroux","An account, based on interviews, of the experience of the 33 Chilean miners who were trapped underground for 69 days in 2010 and, incredibly, rescued.",11,5,9780374280604,hardcover-nonfiction,2015-02-03
I AM MALALA,Malala Yousafzai with Christina Lamb,"Little, Brown","The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and won the Nobel Peace Prize.
",12,42,9780316322409,hardcover-nonfiction,2015-02-03
HUMANS OF NEW YORK,Brandon Stanton,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary by the author.",13,29,9781250038821,hardcover-nonfiction,2015-02-03
